Step,Action,Price,Portfolio Value
742,0,443.6,10041.368799999993
743,1,443.95,10041.368799999993
744,0,443.75,10049.068799999992
745,2,443.7,10044.668799999992
746,2,443.69,10044.668799999992
747,1,443.6,10044.668799999992
748,2,443.75,10042.688799999993
749,1,443.69,10042.688799999993
750,1,443.69,10041.368799999993
751,2,443.75,10041.368799999993
752,0,443.95,10041.368799999993
753,2,443.6,10041.368799999993
754,2,443.56,10041.368799999993
755,1,443.55,10041.368799999993
756,0,443.95,10041.148799999994
757,0,443.735,10049.948799999993
758,0,443.75,10045.218799999993
759,1,443.58,10045.548799999993
760,0,443.95,10041.808799999993
761,1,443.755,10049.948799999993
762,1,443.755,10045.658799999994
763,0,443.9,10045.658799999994
764,0,443.75,10048.848799999992
765,1,443.87,10045.548799999993
766,2,443.88,10048.188799999993
767,0,443.89,10048.188799999993
768,2,443.75,10048.188799999993
769,2,443.87,10048.188799999993
770,1,443.53,10048.188799999993
771,2,443.76,10040.708799999993
772,1,443.875,10040.708799999993
773,1,443.84,10043.238799999994
774,2,443.99,10042.468799999993
775,2,443.99,10042.468799999993
776,1,443.87,10042.468799999993
777,2,443.92,10039.828799999992
778,1,443.9888,10039.828799999992
779,0,443.92,10041.342399999992
780,1,443.95,10039.828799999992
781,2,443.95,10040.488799999992
782,0,443.92,10040.488799999992
783,1,443.92,10040.488799999992
784,2,443.85,10040.488799999992
785,2,443.99,10040.488799999992
786,2,443.8501,10040.488799999992
787,1,443.92,10040.488799999992
788,2,443.95,10042.026599999992
789,1,443.92,10042.026599999992
790,2,443.875,10041.366599999992
791,0,443.8,10041.366599999992
792,1,443.875,10041.366599999992
793,1,443.79,10043.016599999992
794,2,443.76,10041.146599999993
795,1,443.76,10041.146599999993
796,1,443.83,10041.146599999993
797,0,443.725,10042.686599999994
798,0,443.9,10040.376599999994
799,0,443.86,10044.226599999993
800,2,443.75,10043.346599999993
801,1,443.73,10043.346599999993
802,0,443.98,10042.906599999995
803,1,443.33,10048.406599999995
804,2,443.9488,10034.106599999994
805,0,443.72,10034.106599999994
806,2,443.31,10034.106599999994
807,2,443.13,10034.106599999994
808,0,443.44,10034.106599999994
809,1,443.44,10034.106599999994
810,1,443.31,10034.106599999994
811,0,443.45,10031.246599999993
812,1,443.33,10034.326599999993
813,2,443.3,10031.686599999994
814,2,443.33,10031.686599999994
815,2,443.33,10031.686599999994
816,1,443.44,10031.686599999994
817,2,443.48,10034.106599999994
818,0,443.44,10034.106599999994
819,2,443.45,10034.106599999994
820,1,443.55,10034.106599999994
821,2,443.48,10036.306599999994
822,1,443.455,10036.306599999994
823,0,443.47,10035.756599999993
824,0,443.48,10036.086599999993
825,2,443.35,10036.306599999994
826,2,443.455,10036.306599999994
827,0,443.37,10036.306599999994
828,1,443.55,10036.306599999994
829,1,443.605,10040.266599999995
830,1,443.605,10041.476599999996
831,1,443.56,10041.476599999996
832,2,443.57,10040.486599999995
833,1,443.555,10040.486599999995
834,0,443.56,10040.156599999997
835,1,443.6,10040.266599999995
836,1,443.51,10041.146599999996
837,1,443.53,10039.166599999995
838,0,443.525,10039.606599999996
839,0,443.53,10039.496599999995
840,1,443.53,10039.606599999996
841,1,443.4,10039.606599999996
842,1,443.525,10036.746599999995
843,0,443.525,10039.496599999995
844,0,443.59,10039.496599999995
845,1,443.4,10040.926599999995
846,0,443.5,10036.746599999995
