Step,Action,Price,Portfolio Value
588,[1 1 1],441.86,9805.401499999996
589,[1 1 2],441.96,9805.636899999996
590,[1 1 2],441.61,9807.836899999995
591,[2 1 1],441.9798,9800.136899999996
592,[1 2 1],441.86,9809.259299999996
593,[2 0 2],442.2137,9797.739299999996
594,[0 1 2],442.485,9797.739299999996
595,[0 0 1],442.4,9802.373699999995
596,[2 2 2],442.26,9798.430499999995
597,[0 2 0],442.73,9798.430499999995
598,[1 1 2],442.71,9798.430499999995
599,[1 1 0],442.8626,9797.990499999993
600,[1 0 0],442.445,9801.347699999993
601,[1 2 0],442.49,9792.160499999993
602,[0 0 1],442.38,9793.150499999994
603,[1 1 2],441.96,9790.730499999994
604,[2 0 2],442.11,9781.490499999993
605,[0 0 2],442.07,9781.490499999993
606,[0 2 2],442.66,9781.490499999993
607,[0 0 0],442.52,9781.490499999993
608,[1 0 2],442.21,9781.490499999993
609,[1 1 1],442.5,9774.670499999993
610,[2 1 0],442.655,9781.050499999994
611,[0 0 2],442.137,9760.158499999994
612,[2 2 2],442.1496,9767.370499999994
613,[0 0 0],442.04,9767.370499999994
614,[1 1 1],441.82,9767.370499999994
615,[1 0 1],441.845,9762.530499999992
616,[1 0 0],442.18,9763.080499999993
617,[0 0 2],442.23,9770.450499999994
618,[0 1 1],442.01,9771.550499999994
619,[0 0 1],441.96,9766.710499999992
620,[2 2 1],441.8659,9765.610499999992
621,[2 2 2],441.97,9760.210499999992
622,[0 2 1],441.865,9760.210499999992
623,[1 0 0],441.925,9758.05049999999
624,[2 0 0],442.37,9753.730499999992
625,[1 1 1],442.15,9758.705699999993
626,[0 0 1],442.15,9755.890499999994
627,[0 0 1],442.065,9753.010499999991
628,[1 1 1],441.98,9756.610499999992
629,[0 2 2],441.835,9760.203299999994
630,[1 1 0],441.89,9760.203299999994
631,[1 2 2],442.125,9761.413299999995
632,[2 0 1],441.95,9766.583299999995
633,[0 2 2],441.77,9778.463299999994
634,[1 2 1],441.95,9778.463299999994
635,[1 1 0],442.37,9782.423299999995
636,[1 1 2],442.525,9791.663299999995
637,[0 0 1],442.8,9795.073299999995
638,[0 1 0],442.68,9801.123299999996
639,[0 2 2],442.83,9798.483299999996
640,[2 1 0],442.678,9801.783299999996
641,[0 1 0],442.93,9795.783299999996
642,[1 2 0],442.94,9803.223299999996
643,[0 0 1],442.6845,9803.223299999996
644,[1 1 1],442.87,9808.169699999997
645,[1 0 1],443.0871,9825.449699999997
646,[2 0 2],442.67,9827.969699999998
647,[0 1 1],443.04,9827.969699999998
648,[2 0 1],443.33,9821.629699999998
649,[2 1 2],443.47,9826.1387
650,[1 2 1],443.32,9822.538699999997
651,[1 1 0],442.88,9826.952299999997
652,[0 1 0],443.01,9813.632299999997
653,[2 2 1],442.83,9818.3123
654,[0 2 1],442.895,9816.152299999998
655,[0 2 0],442.42,9788.072299999998
656,[0 1 0],442.845,9795.869899999998
657,[0 2 2],442.8,9794.552299999998
658,[0 2 1],442.88,9794.552299999998
659,[2 0 2],443.01,9789.512299999997
660,[0 2 2],443.48,9789.512299999997
661,[0 2 2],443.175,9789.512299999997
662,[0 1 1],443.33,9789.512299999997
663,[1 1 2],443.33,9782.679499999997
664,[1 0 0],445.49,9785.799499999997
