Step,Action,Price,Portfolio Value
570,[1 0 0],443.92,10114.279899999983
571,[0 2 1],444.0,10109.847299999983
572,[1 0 0],444.13,10101.699899999983
573,[2 1 2],444.15,10092.501699999984
574,[1 2 0],444.1876,10092.501699999984
575,[2 1 0],443.91,10093.328899999984
576,[1 1 1],443.84,10092.928899999984
577,[1 1 0],443.66,10098.678899999984
578,[1 0 1],443.57,10117.178899999984
579,[2 1 0],443.494,10103.176399999984
580,[0 1 0],443.15,10096.256399999984
581,[2 1 1],442.41,10092.431399999985
582,[0 0 1],442.55,10103.678899999984
583,[0 0 2],442.905,10121.428899999984
584,[2 1 1],442.6581,10122.363899999986
585,[1 2 2],442.33,10122.428899999984
586,[0 2 2],442.295,10122.428899999984
587,[1 2 1],441.8493,10122.428899999984
588,[0 1 0],441.86,10112.463499999985
589,[1 0 2],441.96,10112.539099999985
590,[1 1 2],441.61,10114.739099999984
591,[2 2 2],441.9798,10107.039099999985
592,[2 2 1],441.86,10107.039099999985
593,[1 1 2],442.2137,10095.199099999985
594,[0 0 2],442.485,10095.199099999985
595,[2 2 1],442.4,10095.199099999985
596,[0 0 1],442.26,10093.719099999986
597,[0 0 1],442.73,10089.419699999986
598,[1 0 0],442.71,10079.799699999985
599,[2 0 1],442.8626,10060.877899999985
600,[2 2 2],442.445,10045.759699999986
601,[2 2 1],442.49,10045.759699999986
602,[2 0 2],442.38,10058.339699999984
603,[2 1 1],441.96,10058.339699999984
604,[0 1 1],442.11,10069.130299999983
605,[2 2 2],442.07,10049.103099999984
606,[2 2 1],442.66,10049.103099999984
607,[0 2 0],442.52,10063.903099999983
608,[1 2 2],442.21,10072.731299999985
609,[1 1 2],442.5,10072.731299999985
610,[0 0 0],442.655,10079.111299999986
611,[2 1 2],442.137,10082.521299999986
612,[1 0 2],442.1496,10090.033799999987
613,[2 0 1],442.04,10087.916299999986
614,[0 0 0],441.82,10070.533799999987
615,[2 0 2],441.845,10042.283799999987
616,[2 0 0],442.18,10053.333799999988
617,[0 1 1],442.23,10053.283799999987
618,[2 1 0],442.01,10055.283799999987
619,[2 0 0],441.96,10094.831299999987
620,[0 0 0],441.8659,10106.158799999987
621,[1 1 2],441.97,10091.283799999987
622,[2 0 2],441.865,10123.283799999987
623,[1 1 1],441.925,10082.546299999987
624,[2 1 1],442.37,10063.283799999987
625,[1 1 0],442.15,10064.033799999987
626,[1 2 2],442.15,10054.523799999986
627,[0 2 1],442.065,10054.523799999986
628,[0 1 1],441.98,10058.223799999987
629,[2 1 2],441.835,10061.916399999987
630,[2 0 2],441.89,10061.916399999987
631,[2 1 2],442.125,10061.916399999987
632,[1 0 0],441.95,10075.666399999987
633,[1 0 1],441.77,10073.291399999987
634,[0 2 1],441.95,10101.961399999987
635,[2 1 1],442.37,10107.600199999988
636,[1 0 1],442.525,10110.552799999989
637,[1 2 0],442.8,10097.232799999987
638,[2 2 1],442.68,10096.50019999999
639,[2 0 0],442.83,10096.574199999986
640,[2 1 1],442.678,10103.16019999999
641,[2 1 1],442.93,10102.420199999988
642,[1 2 2],442.94,10106.475399999988
643,[1 0 2],442.6845,10106.475399999988
644,[0 2 2],442.87,10100.85439999999
645,[1 1 1],443.0871,10104.935399999988
646,[1 2 0],442.67,10109.781599999988
647,[0 0 2],443.04,10100.215399999988
648,[0 1 2],443.33,10108.35539999999
649,[0 0 1],443.47,10114.735399999989
650,[2 0 0],443.32,10117.81479999999
651,[2 1 0],442.88,10117.937399999988
652,[1 0 2],443.01,10124.047399999989
653,[2 1 0],442.83,10115.887399999989
654,[2 2 0],442.895,10115.387399999989
655,[0 1 1],442.42,10115.387399999989
656,[0 0 2],442.845,10118.012399999989
657,[1 0 2],442.8,10119.887399999989
658,[2 1 0],442.88,10124.887399999989
